Lema,POS,Frequência
mandatum,NOUN,5
ineo,VERB,5
spons,NOUN,5
incersus,ADJ,5
conspexso,VERB,5
propugno,VERB,5
invo,VERB,5
neglectus,ADJ,5
impello,VERB,5
immitto,VERB,5
disto,VERB,5
destituo,VERB,5
depreco,VERB,5
vinio,VERB,5
pulio,VERB,5
procul,NOUN,5
telis,NOUN,5
praescribo,VERB,5
noviodunus,NOUN,5
